,title,Directed by,Written by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Language,Budget (float),Box office (float),Release date(datetime),Release date (datetime),Country,Budget,Box office,Screenplay by,Story by,Production companies,Release dates,Countries,Color process,Narrated by,Languages,Animation by
0,Superman and the Mole Men,Lee Sholem,Richard Fielding,"['Jerry Siegel', 'Joe Shuster']",Barney A. Sarecky,"['George Reeves', 'Phyllis Coates', 'Jeff Corey', 'J. Farrell MacDonald', 'Stanley Andrews']",Clark Ramsey,Albrecht Joseph,"['Darrell Calker', 'Walter Greene']",Lippert Pictures,Lippert Pictures,"['November 6, 1951']",58 minutes,English,,,1951-11-06,1951-11-06,,,,,,,,,,,,
1,Batman,Leslie H. Martinson,Lorenzo Semple Jr.,['Bob Kane (credited) and Bill Finger (uncredited)'],William Dozier,"['Adam West', 'Burt Ward', 'Lee Meriwether', 'Cesar Romero', 'Burgess Meredith', 'Frank Gorshin']",Howard Schwartz,Harry Gerstad,"['Nelson Riddle', 'Theme:', 'Neal Hefti']",Greenlawn Productions,20th Century-Fox,"['July 30, 1966']",104 minutes,English,,,1966-07-30,1966-07-30,United States,,(rentals),,,,,,,,,
2,Superman,Richard Donner,,"['Jerry Siegel', 'Joe Shuster']",Pierre Spengler,"['Marlon Brando', 'Gene Hackman', 'Christopher Reeve', 'Ned Beatty', 'Jackie Cooper', 'Glenn Ford', 'Trevor Howard', 'Margot Kidder', 'Valerie Perrine', 'Maria Schell', 'Terence Stamp', 'Phyllis Thaxter', 'Susannah York']",Geoffrey Unsworth,Stuart Baird,John Williams,,"['Columbia – EMI – Warner Distributors (United Kingdom)', 'Warner Bros. (United States)']",,143 minutes,English,55000000.0,300500000.0,,,,$55 million,$300.5 million,"['Mario Puzo', 'David Newman', 'Leslie Newman', 'Robert Benton']",Mario Puzo,"['Dovemead Ltd.', 'International Film Production']","['December 10, 1978 ( The Kennedy Center )', 'December 14, 1978 (United Kingdom)', 'December 15, 1978 (United States)']","['Panama', 'Switzerland', 'United Kingdom', 'United States']",,,,
3,Superman II,Richard Lester,,"['Jerry Siegel', 'Joe Shuster']",Pierre Spengler,"['Gene Hackman', 'Christopher Reeve', 'Ned Beatty', 'Jackie Cooper', 'Sarah Douglas', 'Margot Kidder', ""Jack O'Halloran"", 'Valerie Perrine', 'Susannah York', 'Clifton James', 'E. G. Marshall', 'Marc McClure', 'Terence Stamp']",Robert Paynter,John Victor-Smith,Ken Thorne,,"['Columbia – EMI – Warner Distributors (United Kingdom)', 'Warner Bros. (United States)']",,127 minutes,English,54000000.0,190400000.0,,,,$54 million,$190.4 million,"['Mario Puzo', 'David Newman', 'Leslie Newman']",Mario Puzo,"['Dovemead Ltd.', 'International Film Production']","['December 4, 1980 (Australia)', 'April 9, 1981 (United Kingdom)', 'June 19, 1981 (United States)']","['United Kingdom', 'United States']",,,,
4,Superman II: The Richard Donner Cut,Richard Donner,,"['Jerry Siegel', 'Joe Shuster']",Pierre Spengler,"['Gene Hackman', 'Christopher Reeve', 'Marlon Brando', 'Ned Beatty', 'Jackie Cooper', 'Sarah Douglas', 'Margot Kidder', ""Jack O'Halloran"", 'Valerie Perrine', 'Clifton James', 'E.G. Marshall', 'Marc McClure', 'Terence Stamp']",Geoffrey Unsworth,"['Stuart Baird', 'Michael Thau']",John Williams,,Warner Bros. Pictures,"['November 28, 2006']",116 minutes,English,54000000.0,,2006-11-28,2006-11-28,,$54 million,,"['Mario Puzo', 'David Newman', 'Leslie Newman']",Mario Puzo,,,"['United States', 'United Kingdom']",,,,
5,Swamp Thing,Wes Craven,Wes Craven,"['Len Wein', 'Bernie Wrightson']","['Benjamin Melniker', 'Michael E. Uslan']","['Louis Jourdan', 'Adrienne Barbeau']",Robbie Greenberg,Richard Bracken,Harry Manfredini,Swampfilms,"['Embassy Pictures', '(United States)', 'United Artists', '(international, through', 'United International Pictures', ')']","['February 19, 1982']","['91 minutes', '(U.S. theatrical version)', '93 minutes', '(uncut international version)']",English,2500000.0,,1982-02-19,1982-02-19,United States,$2.5 million,,,,,,,Technicolor,,,
6,Superman III,Richard Lester,,"['Jerry Siegel', 'Joe Shuster']",Pierre Spengler,"['Christopher Reeve', 'Richard Pryor', 'Jackie Cooper', 'Marc McClure', ""Annette O'Toole"", 'Annie Ross', 'Pamela Stephenson', 'Robert Vaughn', 'Margot Kidder']",Robert Paynter,John Victor-Smith,Ken Thorne,Dovemead Ltd.,"['Columbia – EMI – Warner Distributors (United Kingdom)', 'Warner Bros. (United States)']",,125 minutes,English,39000000.0,80200000.0,,,,$39 million,$80.2 million,"['David Newman', 'Leslie Newman']",,,"['June 17, 1983 (United States)', 'July 19, 1983 (United Kingdom)']","['United Kingdom', 'United States']",,,,
7,Supergirl,Jeannot Szwarc,,"['Otto Binder', 'Al Plastino']",Timothy Burrill,"['Faye Dunaway', 'Helen Slater', 'Hart Bochner', 'Peter Cook', 'Mia Farrow', 'Marc McClure', 'Brenda Vaccaro', 'Simon Ward', 'Maureen Teefy', ""Peter O'Toole""]",Alan Hume,Malcolm Cooke,Jerry Goldsmith,Pueblo Film AG Productions,"['Tri-Star Pictures (United States)', 'Columbia – EMI – Warner Distributors (United Kingdom)']",,124 minutes,English,35000000.0,14300000.0,,,,$35 million,$14.3 million,David Odell,,,"['19 July 1984 (United Kingdom)', '21 November 1984 (United States)']","['United Kingdom', 'United States']",,,,
8,Superman IV: The Quest for Peace,Sidney J. Furie,,"['Jerry Siegel', 'Joe Shuster']","['Menahem Golan', 'Yoram Globus']","['Christopher Reeve', 'Gene Hackman', 'Jackie Cooper', 'Marc McClure', 'Jon Cryer', 'Sam Wanamaker', 'Mariel Hemingway', 'Margot Kidder', 'Mark Pillow']",Ernest Day,John Shirley,"['John Williams', 'Alexander Courage', '(adaptation)']",,"['Warner Bros. (US)', 'Columbia –Cannon–Warner Distributors (UK)']",,90 minutes,English,17000000.0,36700000.0,,,,$17 million,$36.7 million,"['Lawrence Konner', 'Mark Rosenthal']","['Christopher Reeve', 'Lawrence Konner', 'Mark Rosenthal']","['The Cannon Group, Inc.', 'Golan-Globus Productions']","['July 23, 1987 (Premiere)', 'July 24, 1987 (United States/United Kingdom)']","['United States', 'United Kingdom']",,,,
9,The Return of Swamp Thing,Jim Wynorski,"['Neil Cuthbert', 'Grant Morris']","['Len Wein', 'Bernie Wrightson']","['Benjamin Melniker', 'Michael E. Uslan']","['Louis Jourdan', 'Heather Locklear', 'Sarah Douglas', 'Dick Durock']",Zoran Hochstätter,Leslie Rosenthal,Chuck Cirino,,Millimeter Films,"['May 12, 1989']",88 minutes,English,3000000.0,274928.0,1989-05-12,1989-05-12,United States,$3 million,"$274,928",,,"['Lightyear Entertainment', 'Batfilm Productions']",,,,,,
